
Epoch 0, train loss: 57.3845, val loss: 140.7500
Epoch 0, train loss: 57.3842, val loss: 140.7500
Epoch 10, train loss: 66.7143, val loss: 140.7500
Epoch 20, train loss: 66.7143, val loss: 140.7500
Epoch 30, train loss: 66.7143, val loss: 140.7500
Inferred coeffs for Canada: [nan nan]
Epoch 0, train loss: 655.0359, val loss: 1473.5000
Epoch 10, train loss: 754.6000, val loss: 1473.5000
Epoch 20, train loss: 754.6000, val loss: 1473.5000
Epoch 30, train loss: 754.6000, val loss: 1473.5000
Epoch 0, train loss: 655.0359, val loss: 1473.5000
Epoch 10, train loss: 754.6000, val loss: 1473.5000
Epoch 20, train loss: 754.6000, val loss: 1473.5000
Epoch 30, train loss: 754.6000, val loss: 1473.5000
Epoch 0, train loss: 655.0359, val loss: 1473.5000
Epoch 10, train loss: 754.6000, val loss: 1473.5000
Epoch 20, train loss: 754.6000, val loss: 1473.5000
Epoch 30, train loss: 754.6000, val loss: 1473.5000
Epoch 0, train loss: 655.0359, val loss: 1473.5000
Epoch 10, train loss: 754.6000, val loss: 1473.5000
Epoch 20, train loss: 754.6000, val loss: 1473.5000
Epoch 30, train loss: 754.6000, val loss: 1473.5000
Inferred coeffs for Hong Kong: [nan nan]
Epoch 0, train loss: 85.1826, val loss: 191.5000
Epoch 10, train loss: 107.0857, val loss: 191.5000
Epoch 20, train loss: 107.0857, val loss: 191.5000
Epoch 30, train loss: 107.0857, val loss: 191.5000
Epoch 0, train loss: 85.1826, val loss: 191.5000
Epoch 10, train loss: 107.0857, val loss: 191.5000
Epoch 20, train loss: 107.0857, val loss: 191.5000
Epoch 30, train loss: 107.0857, val loss: 191.5000
Epoch 0, train loss: 85.1826, val loss: 191.5000
Epoch 10, train loss: 107.0857, val loss: 191.5000
Epoch 20, train loss: 107.0857, val loss: 191.5000
Epoch 30, train loss: 107.0857, val loss: 191.5000
Epoch 0, train loss: 85.1826, val loss: 191.5000
Epoch 10, train loss: 107.0857, val loss: 191.5000
Epoch 20, train loss: 107.0857, val loss: 191.5000
Epoch 30, train loss: 107.0857, val loss: 191.5000
Inferred coeffs for Singapore: [nan nan]
Epoch 0, train loss: 813.1396, val loss: 3884.5000
Epoch 10, train loss: 1630.6000, val loss: 3884.5000
Epoch 20, train loss: 1630.6000, val loss: 3884.5000
Epoch 30, train loss: 1630.6000, val loss: 3884.5000
Epoch 0, train loss: 813.1396, val loss: 3884.5000
Epoch 10, train loss: 1630.6000, val loss: 3884.5000
Epoch 20, train loss: 1630.6000, val loss: 3884.5000
Epoch 30, train loss: 1630.6000, val loss: 3884.5000
Epoch 0, train loss: 813.1396, val loss: 3884.5000
Epoch 10, train loss: 1630.6000, val loss: 3884.5000
Epoch 20, train loss: 1630.6000, val loss: 3884.5000
Epoch 30, train loss: 1630.6000, val loss: 3884.5000
Epoch 0, train loss: 813.1396, val loss: 3884.5000
Epoch 10, train loss: 1630.6000, val loss: 3884.5000
Epoch 20, train loss: 1630.6000, val loss: 3884.5000
Epoch 30, train loss: 1630.6000, val loss: 3884.5000
Inferred coeffs for China: [nan nan]
